Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,NYI,CHI,5,4,H,0,1,A
2024-01-01,STL,SJS,3,4,A,1,1,D
2024-01-01,DAL,NSH,1,4,A,0,0,D
2024-01-01,MIN,EDM,1,7,A,1,2,A
2024-01-01,WPG,VGK,2,3,A,1,0,H
2024-01-01,COL,UTA,1,4,A,0,1,A
2024-01-01,CGY,TBL,3,8,A,1,1,D
2024-01-01,VAN,FLA,4,0,H,2,0,H
2024-01-01,SEA,BOS,5,0,H,2,0,H
2024-01-01,CAR,OTT,0,3,A,0,0,D
2024-01-01,NJD,CHI,4,1,H,0,0,D
2024-01-01,NYR,LAK,1,5,A,0,2,A
2024-01-01,MIN,PHI,4,1,H,1,0,H
2024-01-01,EDM,VGK,6,3,H,1,0,H
2024-01-01,OTT,PIT,3,2,H,1,0,H
2024-01-01,DET,TOR,4,2,H,1,0,H
2024-01-01,WSH,BUF,4,2,H,1,1,D
2024-01-01,CBJ,ANA,3,4,A,2,1,H
2024-01-01,WPG,MTL,4,2,H,2,1,H
2024-01-01,DAL,STL,2,1,H,0,1,A
2024-01-01,COL,NSH,5,2,H,0,0,D
2024-01-01,CGY,FLA,3,0,H,1,0,H
2024-01-01,VAN,BOS,1,5,A,0,2,A
2024-01-01,SJS,UTA,3,4,A,1,1,D
2024-01-01,SEA,TBL,1,5,A,1,2,A
2024-01-01,CHI,NYI,5,3,H,2,1,H
2024-01-01,TOR,BUF,5,3,H,1,2,A
2024-01-01,CAR,CBJ,4,1,H,2,0,H
2024-01-01,STL,NYR,3,2,H,1,0,H
2024-01-01,MIN,VGK,2,3,A,1,1,D
2024-01-01,DAL,WSH,3,1,H,0,1,A
2024-01-01,EDM,FLA,5,6,A,1,2,A
2024-01-01,VAN,COL,3,1,H,1,0,H
2024-01-01,MTL,BUF,6,1,H,2,0,H
2024-01-01,TBL,CBJ,5,3,H,1,0,H
2024-01-01,PIT,LAK,3,2,H,0,1,A
2024-01-01,CAR,NYI,4,0,H,2,0,H
2024-01-01,STL,NJD,1,4,A,0,1,A
2024-01-01,NSH,NYR,2,0,H,1,0,H
2024-01-01,CHI,WSH,3,2,H,0,2,A
2024-01-01,CGY,BOS,3,4,A,0,0,D
2024-01-01,SEA,OTT,0,3,A,0,0,D
2024-01-01,SJS,WPG,3,4,A,0,1,A
2024-01-01,DET,PHI,6,4,H,1,1,D
